index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote
ddb14933aff6ed7c2d8c12146749ea04,2025-10-01T08:59:30Z,'Überschwemmung',www.focus.de,de,0,Ex-Hurrikan Gabrielle trifft Ibiza: Sintflutartige Regenfälle und Überschwemmung,"Die Mittelmeerregion Spaniens kämpft mit heftigen Unwettern. Die Ausläufer des Ex-Hurrikans „Gabrielle“ brachten enorme Überschwemmungen, besonders auf Ibiza.",https://www.focus.de/panorama/ex-hurrikan-gabrielle-trifft-ibiza-sintflutartige-regenfaelle-und-ueberschwemmung_0b441e44-90b7-4b21-98c5-26dc7c7bb968.html,https://quadro.burda-forward.de/ctf/72e7a31a-6d30-4d0a-9491-5b7c9c1b7fe4.2b38e72c-26c2-4aa2-845d-1149bcaaa9f2.jpg?im=RegionOfInterestCrop%3D%281200%2C630%29%2CregionOfInterest%3D%281587%2C458%29&hash=51c00b208d0ded43c95bad09ff87b9c6f0deb1c3c0d398ef8e5a501a226ad496,,"Heftige Unwetter haben am Dienstag die Mittelmeerregion Spaniens ins Chaos gestürzt. Ausläufer des Ex-Hurrikans Gabrielle brachten sintflutartige Regenfälle, die Straßen, Häuser und Keller überflutet… [+651 chars]",
8147e2a0c8f17ccddd901d2a9e95b39b,2025-10-01T10:57:03Z,'Hochwasserschutz',www.zeit.de,de,0,Hochwasserschutz: Länder arbeiten bei Deichrückverlegungen enger zusammen,Hier finden Sie Informationen zu dem Thema „Hochwasserschutz“. Lesen Sie jetzt „Länder arbeiten bei Deichrückverlegungen enger zusammen“.,https://www.zeit.de/news/2025-10/01/laender-arbeiten-bei-deichrueckverlegungen-enger-zusammen,https://img.zeit.de/news/2025-10/01/laender-arbeiten-bei-deichrueckverlegungen-enger-zusammen-image-group/wide__1300x731,,"Die Elbe soll durch Deichrückverlegungen mehr Platz bekommen und so der Hochwasserschutz verstärkt werden: Sachsen-Anhalt, Niedersachsen und Brandenburg arbeiten dabei verstärkt zusammen. In Iden im … [+956 chars]",
15c38264b0231c82318a5cdf4dbc6faf,2025-10-01T10:57:03Z,'Hochwasser Deiche',www.stern.de,de,0,Hochwasserschutz: Länder arbeiten bei Deichrückverlegungen enger zusammen,"Die Elbe soll mehr Raum bekommen, um sich bei Hochwasser auszubreiten. Sachsen-Anhalt, Brandenburg und Niedersachsen arbeiten dabei enger zusammen.",https://www.stern.de/gesellschaft/regional/berlin-brandenburg/hochwasserschutz--laender-arbeiten-bei-deichrueckverlegungen-enger-zusammen-36097152.html,https://image.stern.de/36097154/t/UD/v1/w1440/r1.7778/-/01--fyetthx56av6axs2048jpeg---cee6ec35e9582baa.jpg,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Die Elbe soll mehr Raum bekommen, um sich bei Hochwasser auszubreiten. Sachsen-Anhalt, Brandenburg und Niedersachsen arbeiten dabei enger zusamme… [+1119 chars]",
e44369f2b59e7a36d8d96734591f3225,2025-10-01T10:58:10Z,'Hochwasserschutz',www.tagesspiegel.de,de,0,Hochwasserschutz: Länder arbeiten bei Deichrückverlegungen enger zusammen,"Die Elbe soll mehr Raum bekommen, um sich bei Hochwasser auszubreiten. Sachsen-Anhalt, Brandenburg und Niedersachsen arbeiten dabei enger zusammen.",https://www.tagesspiegel.de/berlin/hochwasserschutz-lander-arbeiten-bei-deichruckverlegungen-enger-zusammen-14437892.html,https://www.tagesspiegel.de/images/14437889/alternates/BASE_16_9_W1400/1759316289000/nach-dem-hochwasser-wittenberge.jpeg,,"Die Elbe soll durch Deichrückverlegungen mehr Platz bekommen und so der Hochwasserschutz verstärkt werden: Sachsen-Anhalt, Niedersachsen und Brandenburg arbeiten dabei verstärkt zusammen. In Iden im … [+1006 chars]",
1039d3d6490791d6667d34958e1245e1,2025-10-01T18:03:25Z,'Hochwasser',www.tagesspiegel.de,de,0,Brandenburg einigt sich mit Sachsen-Anhalt und Niedersachen: Mehr Überschwemmungsflächen an der Elbe,"Sachsen-Anhalt, Niedersachsen und Brandenburg haben sich darauf geeinigt, dass der Hochwasserschutz an der Elbe verbessert werden soll.",https://www.tagesspiegel.de/potsdam/brandenburg/brandenburg-einigt-sich-mit-sachsen-anhalt-und-niedersachen-mehr-uberschwemmungsflachen-an-der-elbe-14444651.html,https://www.tagesspiegel.de/images/12751178/alternates/BASE_16_9_W1400/1732264224000/wetter-in-brandenburg.jpeg,,"Die Elbe soll künftig mehr Platz bekommen: Sachsen-Anhalt, Niedersachsen und Brandenburg wollen in den nächsten Jahren durch Deichrückverlegungen rund 1560 Hektar neue Überflutungsflächen für die reg… [+1515 chars]",
48f206abbc441212d0a43c1463cc3502,2025-10-02T10:22:10Z,'Hochwasser',www.zeit.de,de,0,Hochwasser erwartet: Leichte Sturmflut droht – Ausfälle bei Inselfähren möglich,Hier finden Sie Informationen zu dem Thema „Hochwasser erwartet“. Lesen Sie jetzt „Leichte Sturmflut droht – Ausfälle bei Inselfähren möglich“.,https://www.zeit.de/news/2025-10/02/leichte-sturmflut-droht-ausfaelle-bei-inselfaehren-moeglich,https://img.zeit.de/news/2025-10/02/leichte-sturmflut-droht-ausfaelle-bei-inselfaehren-moeglich-image-group/wide__1300x731,,Wegen eines erwarteten Herbststurmes und höherer Wasserstände an der Küste müssen sich Urlauber und Insulaner an diesem Wochenende auf mögliche Einschränkungen im Fährverkehr einstellen. Die Insel La… [+1997 chars],
e7b56906b91edc596d91c4904ac3aec6,2025-10-03T03:00:47Z,'Hochwasser',www.stern.de,de,0,Invasive Nutrias: Zahl der erlegten Nutrias im Nordosten enorm gestiegen,Früher waren sie zur Zucht in Pelzfarmen eingesperrt. Inzwischen breiten sich Nutrias in freier Wildbahn rasant aus. Laut Jagdverband ist das nicht nur für den Hochwasserschutz gefährlich.,https://www.stern.de/gesellschaft/regional/mecklenburg-vorpommern/invasive-nutrias--zahl-der-erlegten-nutrias-im-nordosten-enorm-gestiegen-36102876.html,https://image.stern.de/36102878/t/Qu/v1/w1440/r1.7778/-/03--fskcho4lwwv9axs2048jpeg---cc383a45eb98591b.jpg,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Früher waren sie zur Zucht in Pelzfarmen eingesperrt. Inzwischen breiten sich Nutrias in freier Wildbahn rasant aus. Laut Jagdverband ist das nic… [+3838 chars]",
6a9f601391c5c12bc56cbc0c9c459abc,2025-10-03T03:01:03Z,'Hochwasserschutz',www.stern.de,de,0,Invasive Nutrias: Zahl der Nager-Reviere zuletzt verdoppelt – Deiche gefährdet,Einst eingesperrt zur Zucht in Pelzfarmen breiten sich Nutrias nun in freier Wildbahn rasant aus. Laut Jagdverband ist das speziell in Stadtstaaten dramatisch. Und gefährlich für den Hochwasserschutz.,https://www.stern.de/gesellschaft/regional/hamburg-schleswig-holstein/invasive-nutrias--zahl-der-nager-reviere-zuletzt-verdoppelt---deiche-gefaehrdet-36102872.html,https://image.stern.de/36102874/t/4G/v1/w1440/r1.7778/-/03--3xgdo64ujlv7axs2048jpeg---51f5e3dfe33cb490.jpg,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Einst eingesperrt zur Zucht in Pelzfarmen breiten sich Nutrias nun in freier Wildbahn rasant aus. Laut Jagdverband ist das speziell in Stadtstaat… [+4266 chars]",
710e769cef3fef817eb7f114328e6361,2025-10-03T06:49:03Z,'Hochwasser',www.welt.de,de,0,Die Nutria-Invasion und ihre gefährlichen Folgen,Einst eingesperrt zur Zucht in Pelzfarmen breiten sich Nutrias nun in freier Wildbahn rasant aus. Laut Jagdverband ist das speziell in Stadtstaaten dramatisch. Und immer gefährlicher für den Hochwasserschutz.,https://www.welt.de/regionales/hamburg/article68df6bc735088eeb70a297c2/geschaedigte-deiche-die-nutria-invasion-und-ihre-gefaehrlichen-folgen.html,https://images.welt.de/68df6bc735088eeb70a297c2/f7fc0e9e0cf6f511870bb6b32d8bdcf5-master/ci16x9-w1200/nutria-auf-futtersuche,,"Die Zahl der Nutrias ist vielerorts in Deutschland rasant gestiegen. Gerade in den Stadtstaaten Bremen und Hamburg haben wir extrem viele Meldungen von Fällen, da breiten sich viele Tiere aus, sagte … [+3673 chars]",
64b89ca5c5cd43522a7a312cb8f4218c,2025-10-04T09:12:42Z,'Hochwasser',www.stern.de,de,0,Wetter: Orkanartige Böen stören Fährverkehr zu Nordseeinseln,Sturm und Hochwasser verursachen Ausfälle im Fährverkehr zu den Nordseeinseln. Auch Sylt-Fähren fahren am Wochenende nur eingeschränkt – zusätzliche Abfahrten am Abend sind möglich.,https://www.stern.de/gesellschaft/regional/hamburg-schleswig-holstein/wetter--orkanartige-boeen-stoeren-faehrverkehr-zu-nordseeinseln-36104648.html,https://image.stern.de/36104650/t/G9/v1/w1440/r1.7778/-/04--kj4wpfoosrv3axs2048jpeg---860a4df8ddd52884.jpg,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Sturm und Hochwasser verursachen Ausfälle im Fährverkehr zu den Nordseeinseln. Auch Sylt-Fähren fahren am Wochenende nur eingeschränkt zusätzlich… [+2849 chars]",
0d98afe6e959b96a61c4930f4626c77c,2025-10-04T11:05:58Z,'Hochwasser',www.bild.de,de,0,Unwetter am Wochenende - Sturmflut-Warnung für die Nordseeküste,Schwere Sturmflut und Sturmböen an der Nordseeküste: Am Wochenende droht Hochwasser bis zu 2 Meter über Normal – Fährverbindungen zu den Inseln brechen ein.,https://www.bild.de/news/wetter/unwetter-am-wochenende-sturmflut-warnung-fuer-die-nordseekueste-68e019e235088eeb70a2a374,"https://images.bild.de/68e019e235088eeb70a2a374/7a1e5e516e22eec9defd04750ac238aa,402f6b57?w=1280",,"Norderney (Niedersachsen) Die erste Sturmflut des Herbstes kommt im Dreierpack! Sturmtief Detlef sorgt am Wochenende für heftige Böen, Dauerregen und hohe Pegel. Für Niedersachsen und Bremen werden d… [+3335 chars]",
4b83e49d42a3a858d598c35dfd9d6793,2025-10-04T15:10:28Z,'Hochwasser',www.tagesspiegel.de,de,0,Wetter: Bundesamt warnt vor Sturmflut,"Orkanböen, Fährausfälle, Hochwasser – der deutschen Nordseeküste droht am Sonntag eine Sturmflut. Welche Orte besonders betroffen sind.",https://www.tagesspiegel.de/gesellschaft/panorama/wetter-bundesamt-warnt-vor-sturmflut-14469218.html,https://www.tagesspiegel.de/images/14469215/alternates/BASE_16_9_W1400/1759590627000/strandkorbe-vor-erwarteter-sturmflut-gesichert.jpeg,,"Die deutsche Nordseeküste muss sich am Sonntag auf eine Sturmflut einstellen. Betroffen seien auch die Flüsse Elbe, Weser und Ems, teilte das Bundesamt für Seeschifffahrt und Hydrographie (BSH) mit. … [+1805 chars]",
