domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.stern.de,-0.1285714285714286,0.23343486615048292,0.42857142857142855,0.12371791482634838,3.0
www.faz.net,-0.35750000000000004,0.25809397513308985,0.0,0.0,2.0
www.welt.de,-0.38,0.7353910524340095,0.0,0.0,2.0
www.zeit.de,-0.049999999999999996,0.07071067811865475,0.27142857142857146,0.18182745801939798,2.0
hallespektrum.de,0.0,1.0,0.0,1.0,1.0
noe.orf.at,0.0,1.0,0.0,1.0,1.0
www.focus.de,0.0,1.0,0.0,1.0,1.0
www.n-tv.de,0.0,1.0,0.0,1.0,1.0
www.nzz.ch,0.0,1.0,0.0,1.0,1.0
www.tagesspiegel.de,0.0,1.0,0.0,1.0,1.0
